seed,difficulty,prompt,image_path,gold_label,target_shape,target_color,num_items
1000,easy,Count the red squares. Respond with a number only.,images/easy/easy_1000.png,3,square,red,13
1001,easy,Count the blue circles. Respond with a number only.,images/easy/easy_1001.png,4,circle,blue,10
1002,easy,Count the yellow triangles. Respond with a number only.,images/easy/easy_1002.png,2,triangle,yellow,11
1003,easy,Count the green squares. Respond with a number only.,images/easy/easy_1003.png,4,square,green,11
1004,easy,Count the red squares. Respond with a number only.,images/easy/easy_1004.png,2,square,red,11
1005,easy,Count the yellow squares. Respond with a number only.,images/easy/easy_1005.png,3,square,yellow,13
1006,easy,Count the red squares. Respond with a number only.,images/easy/easy_1006.png,4,square,red,11
1007,easy,Count the blue circles. Respond with a number only.,images/easy/easy_1007.png,2,circle,blue,12
1008,easy,Count the yellow triangles. Respond with a number only.,images/easy/easy_1008.png,1,triangle,yellow,12
1009,easy,Count the red circles. Respond with a number only.,images/easy/easy_1009.png,1,circle,red,13
1010,easy,Count the blue triangles. Respond with a number only.,images/easy/easy_1010.png,4,triangle,blue,10
1011,easy,Count the green squares. Respond with a number only.,images/easy/easy_1011.png,4,square,green,10
1012,easy,Count the blue squares. Respond with a number only.,images/easy/easy_1012.png,4,square,blue,11
1013,easy,Count the green squares. Respond with a number only.,images/easy/easy_1013.png,1,square,green,11
1014,easy,Count the red triangles. Respond with a number only.,images/easy/easy_1014.png,3,triangle,red,11
1015,easy,Count the green circles. Respond with a number only.,images/easy/easy_1015.png,4,circle,green,13
1016,easy,Count the yellow squares. Respond with a number only.,images/easy/easy_1016.png,2,square,yellow,12
1017,easy,Count the yellow squares. Respond with a number only.,images/easy/easy_1017.png,1,square,yellow,11
1018,easy,Count the yellow squares. Respond with a number only.,images/easy/easy_1018.png,2,square,yellow,10
1019,easy,Count the green circles. Respond with a number only.,images/easy/easy_1019.png,1,circle,green,11
2000,medium,Count the red squares. Respond with a number only.,images/medium/medium_2000.png,3,square,red,16
2001,medium,Count the red triangles. Respond with a number only.,images/medium/medium_2001.png,1,triangle,red,15
2002,medium,Count the red triangles. Respond with a number only.,images/medium/medium_2002.png,5,triangle,red,15
2003,medium,Count the blue circles. Respond with a number only.,images/medium/medium_2003.png,3,circle,blue,15
2004,medium,Count the red triangles. Respond with a number only.,images/medium/medium_2004.png,3,triangle,red,14
2005,medium,Count the red squares. Respond with a number only.,images/medium/medium_2005.png,4,square,red,13
2006,medium,Count the yellow triangles. Respond with a number only.,images/medium/medium_2006.png,1,triangle,yellow,13
2007,medium,Count the red circles. Respond with a number only.,images/medium/medium_2007.png,5,circle,red,16
2008,medium,Count the yellow circles. Respond with a number only.,images/medium/medium_2008.png,1,circle,yellow,13
2009,medium,Count the blue squares. Respond with a number only.,images/medium/medium_2009.png,1,square,blue,16
2010,medium,Count the yellow circles. Respond with a number only.,images/medium/medium_2010.png,2,circle,yellow,16
2011,medium,Count the blue triangles. Respond with a number only.,images/medium/medium_2011.png,2,triangle,blue,15
2012,medium,Count the yellow circles. Respond with a number only.,images/medium/medium_2012.png,2,circle,yellow,15
2013,medium,Count the red squares. Respond with a number only.,images/medium/medium_2013.png,3,square,red,16
2014,medium,Count the yellow squares. Respond with a number only.,images/medium/medium_2014.png,3,square,yellow,14
2015,medium,Count the red triangles. Respond with a number only.,images/medium/medium_2015.png,2,triangle,red,13
2016,medium,Count the yellow triangles. Respond with a number only.,images/medium/medium_2016.png,1,triangle,yellow,15
2017,medium,Count the yellow circles. Respond with a number only.,images/medium/medium_2017.png,3,circle,yellow,15
2018,medium,Count the blue triangles. Respond with a number only.,images/medium/medium_2018.png,4,triangle,blue,13
2019,medium,Count the blue circles. Respond with a number only.,images/medium/medium_2019.png,2,circle,blue,16
3000,hard,Count the blue triangles. Respond with a number only.,images/hard/hard_3000.png,2,triangle,blue,18
3001,hard,Count the yellow squares. Respond with a number only.,images/hard/hard_3001.png,4,square,yellow,17
3002,hard,Count the yellow circles. Respond with a number only.,images/hard/hard_3002.png,2,circle,yellow,16
3003,hard,Count the yellow triangles. Respond with a number only.,images/hard/hard_3003.png,4,triangle,yellow,17
3004,hard,Count the yellow squares. Respond with a number only.,images/hard/hard_3004.png,2,square,yellow,17
3005,hard,Count the red triangles. Respond with a number only.,images/hard/hard_3005.png,4,triangle,red,19
3006,hard,Count the red triangles. Respond with a number only.,images/hard/hard_3006.png,4,triangle,red,20
3007,hard,Count the green triangles. Respond with a number only.,images/hard/hard_3007.png,6,triangle,green,19
3008,hard,Count the yellow squares. Respond with a number only.,images/hard/hard_3008.png,3,square,yellow,16
3009,hard,Count the green squares. Respond with a number only.,images/hard/hard_3009.png,5,square,green,16
3010,hard,Count the green triangles. Respond with a number only.,images/hard/hard_3010.png,6,triangle,green,18
3011,hard,Count the blue circles. Respond with a number only.,images/hard/hard_3011.png,3,circle,blue,20
3012,hard,Count the blue squares. Respond with a number only.,images/hard/hard_3012.png,3,square,blue,19
3013,hard,Count the yellow triangles. Respond with a number only.,images/hard/hard_3013.png,2,triangle,yellow,16
3014,hard,Count the blue circles. Respond with a number only.,images/hard/hard_3014.png,4,circle,blue,16
3015,hard,Count the green triangles. Respond with a number only.,images/hard/hard_3015.png,2,triangle,green,16
3016,hard,Count the green triangles. Respond with a number only.,images/hard/hard_3016.png,5,triangle,green,16
3017,hard,Count the yellow triangles. Respond with a number only.,images/hard/hard_3017.png,6,triangle,yellow,16
3018,hard,Count the blue squares. Respond with a number only.,images/hard/hard_3018.png,2,square,blue,18
3019,hard,Count the yellow squares. Respond with a number only.,images/hard/hard_3019.png,6,square,yellow,17
